NAME,OPEN DATE,CLOSED DATE,BOROUGH,ACCESSIBLE,ACCESSIBILITY NOTES,LATITUDE,LONGITUDE,LINE,NOTES,URL
103rd St,,,,,,-73.968379,40.799446,1,1-all times,http://web.mta.info/nyct/service/
103rd St,,,,,,-73.96137008,40.79606074,"A,B,C","A-nights, B-weekdays and evenings, C-all times exc nights",http://web.mta.info/nyct/service/
103rd St,,,,,,-73.947478,40.7906,"4,6","4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",http://web.mta.info/nyct/service/
103rd St - Corona Plaza,,,,,,-73.8627,40.749865,7,7-all times,http://web.mta.info/nyct/service/
104th St,,,,,,-73.837683,40.681711,"A,S","S Euclid Av to Ozone Park-Lefferts Blvd-nights, A-all other times",http://web.mta.info/nyct/service/
104th-102nd Sts,,,,,,-73.844435,40.695166,"J,Z","Z-rush hours AM westbound, PM eastbound, J-all other times",http://web.mta.info/nyct/service/
110th St,,,,,,-73.94425,40.79502,"4,6","4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",http://web.mta.info/nyct/service/
111th St,,,,,,-73.832163,40.684331,"A,S","S Euclid Av to Ozone Park-Lefferts Blvd-nights, A-all other times",http://web.mta.info/nyct/service/
111th St,,,,,,-73.855334,40.75173,7,7-all times,http://web.mta.info/nyct/service/
111th St,,,,,,-73.83679338,40.69711481,J,J-all times,http://web.mta.info/nyct/service/
116th St,,,,,,-73.949625,40.802098,"2,3","2,3-all times",http://web.mta.info/nyct/service/
116th St,,,,,,-73.95479778,40.80505813,"A,B,C","A-nights, B-weekdays and evenings, C-all times exc nights",http://web.mta.info/nyct/service/
116th St,,,,,,-73.941617,40.798629,"4,6","4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",http://web.mta.info/nyct/service/
116th St - Columbia University,,,,,,-73.96411,40.807722,1,1-all times,http://web.mta.info/nyct/service/
121st St,,,,,,-73.828349,40.700482,"J,Z","Z-rush hours AM westbound, PM eastbound, J-all other times",http://web.mta.info/nyct/service/
125th St,,,,,,-73.945495,40.807754,"2,3","2,3-all times",http://web.mta.info/nyct/service/
125th St,,,,,,-73.958372,40.815581,1,1-all times,http://web.mta.info/nyct/service/
125th St,,,,,,-73.952248,40.81107167,"A,B,C,D","A,D-all times, B-weekdays and evenings, C-all times exc nights",http://web.mta.info/nyct/service/
125th St,,,,,,-73.937594,40.804138,"4,5,6","4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound",http://web.mta.info/nyct/service/
